"variable","importance","ID","K.sce","I.sce","N.sce"
"Cll",0.00992949962613437,12,0.05,1,1
"Cnl",0.00774108027976335,12,0.05,1,1
"Cal",0.00496401964629529,12,0.05,1,1
"Cln",0.00887506036401146,12,0.05,1,1
"Cnn",0.00867249256876617,12,0.05,1,1
"Can",0.00591218748537416,12,0.05,1,1
"Cla",0.00888502066165403,12,0.05,1,1
"Cna",0.00673463730041332,12,0.05,1,1
"Caa",0.00622149530500991,12,0.05,1,1
"Cs",0.103585485652722,12,0.05,1,1
"Nlh",0.00791009281925529,12,0.05,1,1
"Nnh",0.00908024959214727,12,0.05,1,1
"Nah",0.00564411290464318,12,0.05,1,1
"Dl",0.00850154025149021,12,0.05,1,1
"Dn",0.00848426967692806,12,0.05,1,1
"Da",0.00701447103046025,12,0.05,1,1
"Hcn",0.140260480320444,12,0.05,1,1
"Hcs",0.0395315533356623,12,0.05,1,1
"I",0.0201818363408095,12,0.05,1,1
"theta",0.00868759090718843,12,0.05,1,1
"Pl",0.00870073040374614,12,0.05,1,1
"Pn",0.00874552185953034,12,0.05,1,1
"Pa",0.00791687126553682,12,0.05,1,1
"Ql",0.0300423814586996,12,0.05,1,1
"Qn",0.0112308147433876,12,0.05,1,1
"Qa",0.00628152151747194,12,0.05,1,1
"Ra",0.0406372357556344,12,0.05,1,1
"E",0.040208138355655,13,0.05,1,1
"Sl",0.0165343670181047,13,0.05,1,1
"Sn",0.0420857669465456,13,0.05,1,1
"Sa",0.0240334433140823,13,0.05,1,1
"Cll",0.0135156330332707,13,0.05,1,1
"Cnl",0.00834469195200584,13,0.05,1,1
"Cal",0.00647541932479142,13,0.05,1,1
"Cln",0.0136806047853613,13,0.05,1,1
"Cnn",0.00599759642832544,13,0.05,1,1
"Can",0.00605890899168589,13,0.05,1,1
"Cla",0.0125739600785421,13,0.05,1,1
"Cna",0.00637483335116749,13,0.05,1,1
"Caa",0.00637900924178907,13,0.05,1,1
"Cs",0.0798591059123075,13,0.05,1,1
"Nlh",0.0126611059064266,13,0.05,1,1
"Nnh",0.00758339123663584,13,0.05,1,1
"Nah",0.00587729059939871,13,0.05,1,1
"Dl",0.0112813174958483,13,0.05,1,1
"Dn",0.00946403512572262,13,0.05,1,1
"Da",0.00880245946533219,13,0.05,1,1
"Hcn",0.129822574026464,13,0.05,1,1
"Hcs",0.0249113170428233,13,0.05,1,1
