"variable","importance","ID","K.sce","I.sce","N.sce"
"Sa",0.00210470833071369,13,0.05,1,1
"Cll",0.000156824826177344,13,0.05,1,1
"Cnl",0.000115483771619723,13,0.05,1,1
"Cal",0.000150367887295462,13,0.05,1,1
"Cln",0.000170575210935519,13,0.05,1,1
"Cnn",0.00012592195266006,13,0.05,1,1
"Can",0.000207954741653148,13,0.05,1,1
"Cla",0.000179830018323251,13,0.05,1,1
"Cna",0.000140366445742059,13,0.05,1,1
"Caa",0.000217690042715603,13,0.05,1,1
"Cs",0.000190211437176438,13,0.05,1,1
"Nlh",0.000141617051731819,13,0.05,1,1
"Nnh",0.000131205292641471,13,0.05,1,1
"Nah",0.000240007947783591,13,0.05,1,1
"Dl",0.000139785642404211,13,0.05,1,1
"Dn",0.000112466107351163,13,0.05,1,1
"Da",0.000153860387048153,13,0.05,1,1
"Hcn",0.000236581851730817,13,0.05,1,1
"Hcs",0.000343314837678327,13,0.05,1,1
"I",0.000270482984732346,13,0.05,1,1
"theta",9.83866485065166e-05,13,0.05,1,1
"Pl",9.95931765566247e-05,13,0.05,1,1
"Pn",0.000122001192605758,13,0.05,1,1
"Pa",0.00013010100207924,13,0.05,1,1
"Ql",0.000173434442233632,13,0.05,1,1
"Qn",0.000170347576894735,13,0.05,1,1
"Qa",0.000199511852825536,13,0.05,1,1
"Ra",0.00622021272373393,13,0.05,1,1
"E",0.00265870589812289,14,0.05,1,1
"Sl",0.00213228249440764,14,0.05,1,1
"Sn",0.00206528700334231,14,0.05,1,1
"Sa",0.00153811849944873,14,0.05,1,1
"Cll",0.000188457072757683,14,0.05,1,1
"Cnl",0.000129220768361184,14,0.05,1,1
"Cal",8.99834937911272e-05,14,0.05,1,1
"Cln",0.0002571133872,14,0.05,1,1
"Cnn",0.000127809862279888,14,0.05,1,1
"Can",0.000105619925205214,14,0.05,1,1
"Cla",0.000149982321446548,14,0.05,1,1
"Cna",0.00014402924113888,14,0.05,1,1
"Caa",0.000100237837780928,14,0.05,1,1
"Cs",0.000209716574176147,14,0.05,1,1
"Nlh",0.000151924497929918,14,0.05,1,1
"Nnh",0.000136391054004097,14,0.05,1,1
"Nah",0.000119325870955243,14,0.05,1,1
"Dl",7.90049215817976e-05,14,0.05,1,1
"Dn",0.000137519456492137,14,0.05,1,1
"Da",9.29164606143116e-05,14,0.05,1,1
"Hcn",0.00017845448868041,14,0.05,1,1
"Hcs",0.000355853749521587,14,0.05,1,1
