"variable","importance","ID","K.sce","I.sce","N.sce"
"Da",0.000125649948173752,15,0.05,1,1
"Hcn",0.0103003067375006,15,0.05,1,1
"Hcs",0.00169446161644596,15,0.05,1,1
"I",0.00104394506252203,15,0.05,1,1
"theta",0.000126488297788102,15,0.05,1,1
"Pl",0.000140486588441097,15,0.05,1,1
"Pn",0.000150329786021219,15,0.05,1,1
"Pa",0.000298698899535837,15,0.05,1,1
"Ql",0.00190699625679206,15,0.05,1,1
"Qn",0.000119798378702417,15,0.05,1,1
"Qa",0.000157244139684493,15,0.05,1,1
"Ra",0.00049367150783326,15,0.05,1,1
"E",0.000297352117467026,16,0.05,1,1
"Sl",0.000239918153845264,16,0.05,1,1
"Sn",0.000195665514850074,16,0.05,1,1
"Sa",0.000175432761555262,16,0.05,1,1
"Cll",0.000543669482174278,16,0.05,1,1
"Cnl",0.000131548916070468,16,0.05,1,1
"Cal",8.34066515029557e-05,16,0.05,1,1
"Cln",0.000286080808055343,16,0.05,1,1
"Cnn",0.000147558474940707,16,0.05,1,1
"Can",8.94253798286577e-05,16,0.05,1,1
"Cla",0.000459217139156834,16,0.05,1,1
"Cna",0.000150028963315917,16,0.05,1,1
"Caa",0.000101803917461566,16,0.05,1,1
"Cs",0.00734425392802374,16,0.05,1,1
"Nlh",0.000472277323273145,16,0.05,1,1
"Nnh",0.000166593508719403,16,0.05,1,1
"Nah",9.42796882561112e-05,16,0.05,1,1
"Dl",0.000225571229156788,16,0.05,1,1
"Dn",0.000182670114103396,16,0.05,1,1
"Da",0.000186317306955106,16,0.05,1,1
"Hcn",0.0101387344149581,16,0.05,1,1
"Hcs",0.00170257539363442,16,0.05,1,1
"I",0.00131964643843213,16,0.05,1,1
"theta",0.000135829329781068,16,0.05,1,1
"Pl",0.000110433269496205,16,0.05,1,1
"Pn",0.000155606390281094,16,0.05,1,1
"Pa",0.000316168740095502,16,0.05,1,1
"Ql",0.00238451235398163,16,0.05,1,1
"Qn",0.000144433666932314,16,0.05,1,1
"Qa",0.00015330921440824,16,0.05,1,1
"Ra",0.000650220421960086,16,0.05,1,1
"E",0.000479125129655445,17,0.05,1,1
"Sl",0.000253032247850648,17,0.05,1,1
"Sn",0.000202620088096828,17,0.05,1,1
"Sa",0.000188070330589259,17,0.05,1,1
"Cll",0.000220063888675962,17,0.05,1,1
"Cnl",0.000134861064853115,17,0.05,1,1
"Cal",9.02554022332631e-05,17,0.05,1,1
"Cln",0.000196747409627694,17,0.05,1,1
"Cnn",0.000191369737207787,17,0.05,1,1
"Can",9.48732902624219e-05,17,0.05,1,1
"Cla",0.000225862999386656,17,0.05,1,1
"Cna",0.000180422720264253,17,0.05,1,1
"Caa",9.44487080910423e-05,17,0.05,1,1
"Cs",0.00653861355396658,17,0.05,1,1
"Nlh",0.000226493430027041,17,0.05,1,1
"Nnh",0.000176181874617472,17,0.05,1,1
"Nah",8.37104235389763e-05,17,0.05,1,1
"Dl",0.000174501925618323,17,0.05,1,1
"Dn",0.000146245862555938,17,0.05,1,1
"Da",0.000174911921029951,17,0.05,1,1
"Hcn",0.0116446603748641,17,0.05,1,1
"Hcs",0.00142153817244639,17,0.05,1,1
"I",0.000827221760919073,17,0.05,1,1
"theta",0.00013840705725632,17,0.05,1,1
"Pl",0.000158852472469635,17,0.05,1,1
"Pn",0.000166829611448678,17,0.05,1,1
"Pa",0.000249862150383614,17,0.05,1,1
"Ql",0.00221446922876166,17,0.05,1,1
"Qn",0.000105416870760106,17,0.05,1,1
"Qa",0.000124913948370314,17,0.05,1,1
"Ra",0.000593989142870985,17,0.05,1,1
"E",0.000230800027735493,18,0.05,1,1
"Sl",0.000350107073952097,18,0.05,1,1
"Sn",0.000215390236328503,18,0.05,1,1
"Sa",0.000205691290302691,18,0.05,1,1
"Cll",0.000606337308759466,18,0.05,1,1
"Cnl",0.000139659206515438,18,0.05,1,1
"Cal",0.000124183330201779,18,0.05,1,1
