"variable","importance","ID","K.sce","I.sce","N.sce"
"Ra",0.00260485048869934,10,0.05,1,1
"E",0.00145641129801762,11,0.05,1,1
"Sl",0.000614677307348017,11,0.05,1,1
"Sn",0.00347086970898869,11,0.05,1,1
"Sa",0.000648117301150581,11,0.05,1,1
"Cll",0.000214641757189018,11,0.05,1,1
"Cnl",0.00029957143197722,11,0.05,1,1
"Cal",0.000212293772758588,11,0.05,1,1
"Cln",0.000255967702225125,11,0.05,1,1
"Cnn",0.000252622471248081,11,0.05,1,1
"Can",0.000219067557276654,11,0.05,1,1
"Cla",0.000250091795290445,11,0.05,1,1
"Cna",0.000246031836330491,11,0.05,1,1
"Caa",0.000234211161305083,11,0.05,1,1
"Cs",0.00719318201978711,11,0.05,1,1
"Nlh",0.00022094396035784,11,0.05,1,1
"Nnh",0.000206081647523502,11,0.05,1,1
"Nah",0.000253150256479842,11,0.05,1,1
"Dl",0.000409572491175878,11,0.05,1,1
"Dn",0.000279102803766522,11,0.05,1,1
"Da",0.000325903735744776,11,0.05,1,1
"Hcn",0.00860619974592152,11,0.05,1,1
"Hcs",0.00293866066515082,11,0.05,1,1
"I",0.00300315604451645,11,0.05,1,1
"theta",0.000312686312680288,11,0.05,1,1
"Pl",0.000315783957740698,11,0.05,1,1
"Pn",0.000292810941539925,11,0.05,1,1
"Pa",0.000430875940098021,11,0.05,1,1
"Ql",0.00243382599213147,11,0.05,1,1
"Qn",0.000294416710486515,11,0.05,1,1
"Qa",0.000295253002433715,11,0.05,1,1
"Ra",0.00373364450773291,11,0.05,1,1
"E",0.00127272567776637,12,0.05,1,1
"Sl",0.000858950840900004,12,0.05,1,1
"Sn",0.00331894043549038,12,0.05,1,1
"Sa",0.000650693679252319,12,0.05,1,1
"Cll",0.000162720959663168,12,0.05,1,1
"Cnl",0.000233575315673718,12,0.05,1,1
"Cal",0.00015976536774768,12,0.05,1,1
"Cln",0.000183409148050152,12,0.05,1,1
"Cnn",0.000254293680209404,12,0.05,1,1
"Can",0.000220790837431267,12,0.05,1,1
"Cla",0.000211739122778937,12,0.05,1,1
"Cna",0.00024845884843772,12,0.05,1,1
"Caa",0.000213428496390027,12,0.05,1,1
"Cs",0.00352607815900362,12,0.05,1,1
"Nlh",0.000172730999701451,12,0.05,1,1
"Nnh",0.000249245435915139,12,0.05,1,1
"Nah",0.000162864141789073,12,0.05,1,1
"Dl",0.000280464166219989,12,0.05,1,1
"Dn",0.000225767052795675,12,0.05,1,1
"Da",0.000257487874159329,12,0.05,1,1
"Hcn",0.00995300276822723,12,0.05,1,1
"Hcs",0.00262933031043512,12,0.05,1,1
"I",0.00327616928593767,12,0.05,1,1
"theta",0.00037893499573351,12,0.05,1,1
"Pl",0.000353853761059041,12,0.05,1,1
"Pn",0.000272202338626897,12,0.05,1,1
"Pa",0.000830893829688509,12,0.05,1,1
"Ql",0.00354892903629949,12,0.05,1,1
"Qn",0.000277026463032429,12,0.05,1,1
"Qa",0.000372627792336366,12,0.05,1,1
"Ra",0.00269346788382182,12,0.05,1,1
"E",0.00108369801088813,13,0.05,1,1
"Sl",0.000520265555630211,13,0.05,1,1
"Sn",0.00247522844532125,13,0.05,1,1
"Sa",0.000676411953347105,13,0.05,1,1
"Cll",0.00027480814983759,13,0.05,1,1
"Cnl",0.000231330397869153,13,0.05,1,1
"Cal",0.000212893175755692,13,0.05,1,1
"Cln",0.000236529526747864,13,0.05,1,1
"Cnn",0.000221639914167627,13,0.05,1,1
"Can",0.000190953639422735,13,0.05,1,1
"Cla",0.000295586306354846,13,0.05,1,1
"Cna",0.000245866833290972,13,0.05,1,1
"Caa",0.000154565538106805,13,0.05,1,1
"Cs",0.0056548471682568,13,0.05,1,1
"Nlh",0.000272490968478926,13,0.05,1,1
"Nnh",0.000232843425450055,13,0.05,1,1
"Nah",0.000197875696746312,13,0.05,1,1
"Dl",0.000233491762640078,13,0.05,1,1
"Dn",0.000246805525180303,13,0.05,1,1
"Da",0.000326013644262613,13,0.05,1,1
"Hcn",0.00696670992246283,13,0.05,1,1
"Hcs",0.00347224264836848,13,0.05,1,1
"I",0.00184410271871413,13,0.05,1,1
"theta",0.000334677222788571,13,0.05,1,1
"Pl",0.000243987985872962,13,0.05,1,1
"Pn",0.0002537861771257,13,0.05,1,1
"Pa",0.000626826031995184,13,0.05,1,1
"Ql",0.00270220959763896,13,0.05,1,1
"Qn",0.000248519477578987,13,0.05,1,1
"Qa",0.000249589718440803,13,0.05,1,1
"Ra",0.00299261813218485,13,0.05,1,1
"E",0.0015491394858085,14,0.05,1,1
"Sl",0.000590364568821777,14,0.05,1,1
"Sn",0.00237975337460247,14,0.05,1,1
"Sa",0.0010560854057116,14,0.05,1,1
"Cll",0.000236532772509144,14,0.05,1,1
"Cnl",0.000462831093698252,14,0.05,1,1
"Cal",0.000217795240790818,14,0.05,1,1
"Cln",0.000251368601882423,14,0.05,1,1
"Cnn",0.000285862909435033,14,0.05,1,1
"Can",0.000254155541298866,14,0.05,1,1
"Cla",0.000256974500681867,14,0.05,1,1
"Cna",0.000397084135526738,14,0.05,1,1
"Caa",0.00021913587007658,14,0.05,1,1
"Cs",0.00649778225647511,14,0.05,1,1
"Nlh",0.00024560522742145,14,0.05,1,1
"Nnh",0.000298317261201732,14,0.05,1,1
"Nah",0.000235658292774258,14,0.05,1,1
"Dl",0.00037949353955886,14,0.05,1,1
"Dn",0.000343383416452887,14,0.05,1,1
"Da",0.000283279790392416,14,0.05,1,1
"Hcn",0.00797757313577593,14,0.05,1,1
"Hcs",0.00390514286675493,14,0.05,1,1
"I",0.0034761659193994,14,0.05,1,1
"theta",0.000418073200151853,14,0.05,1,1
"Pl",0.000296017200846411,14,0.05,1,1
"Pn",0.0004129942018469,14,0.05,1,1
"Pa",0.000583405999605248,14,0.05,1,1
"Ql",0.00312352282504945,14,0.05,1,1
"Qn",0.000276008587502476,14,0.05,1,1
"Qa",0.0003076733118095,14,0.05,1,1
"Ra",0.00238618996170712,14,0.05,1,1
"E",0.00179206141594332,15,0.05,1,1
"Sl",0.000529121579876106,15,0.05,1,1
"Sn",0.00292363295237967,15,0.05,1,1
"Sa",0.000555701502438434,15,0.05,1,1
"Cll",0.000323484085400353,15,0.05,1,1
"Cnl",0.000218529885343187,15,0.05,1,1
"Cal",0.000253449609896512,15,0.05,1,1
"Cln",0.000310516589177843,15,0.05,1,1
"Cnn",0.000187176787403637,15,0.05,1,1
"Can",0.000216757430282361,15,0.05,1,1
"Cla",0.000553003565006382,15,0.05,1,1
"Cna",0.000273071129310775,15,0.05,1,1
"Caa",0.000219101126630336,15,0.05,1,1
"Cs",0.00707064086152995,15,0.05,1,1
"Nlh",0.000356508261789129,15,0.05,1,1
"Nnh",0.00018024582957868,15,0.05,1,1
"Nah",0.000255802169860659,15,0.05,1,1
