"variable","importance","ID","K.sce","I.sce","N.sce"
"Sl",0.109619050160767,19,0.05,1,1
"Sn",0.132249308122021,19,0.05,1,1
"Sa",0.10499031243946,19,0.05,1,1
"Cll",0.00282672151584344,19,0.05,1,1
"Cnl",0.00484631152690043,19,0.05,1,1
"Cal",0.0154212148500251,19,0.05,1,1
"Cln",0.0038920387795215,19,0.05,1,1
"Cnn",0.0055624036053871,19,0.05,1,1
"Can",0.0102278384874363,19,0.05,1,1
"Cla",0.00403088737599443,19,0.05,1,1
"Cna",0.00495690961265858,19,0.05,1,1
"Caa",0.0208516230600447,19,0.05,1,1
"Cs",0.0162217666918466,19,0.05,1,1
"Nlh",0.00267283324646204,19,0.05,1,1
"Nnh",0.00510009051277034,19,0.05,1,1
"Nah",0.0156907392897382,19,0.05,1,1
"Dl",0.00441532352810062,19,0.05,1,1
"Dn",0.00613761681355826,19,0.05,1,1
"Da",0.00889261802879542,19,0.05,1,1
"Hcn",0.0226534791196739,19,0.05,1,1
"Hcs",0.00580648164144588,19,0.05,1,1
"I",0.00379111296713391,19,0.05,1,1
"theta",0.00537265862820874,19,0.05,1,1
